purpose,current_amount,target_amount,retained_amount,redemption_amount,locked_redemption_amount,investment_by_destination,is_balanced
Edu_B,2362490.7367680,2362490.73676800000,0,2362490.73676800000,0,INF879O01027=1417494.44206080000;INF879O01100=826871.75786880000;INF966L01887=118124.53683840000,true
Home_Loan,950405.192910,950405.1929100000,0,950405.1929100000,0,INF879O01027=570243.1157460000;INF879O01100=332641.8175185000;INF966L01887=47520.2596455000,true
Kutti,327246.6394363,327246.63943630000,0,88098.18441310000,239148.45502320000,INF879O01027=196347.98366178000;INF879O01100=114536.32380270500;INF966L01887=16362.33197181500,true
Marriage,624900.231000,624900.2310000000,0,624900.2310000000,0,INF879O01027=374940.1386000000;INF879O01100=218715.0808500000;INF966L01887=31245.0115500000,true
Retirement,10625504.5512824,10625504.55128240000,3149850.2449215,5733936.2156460,1741718.09071490000,INF174K01LT0=531275.22756412000;INF879O01027=9562954.09615416000;INF966L01887=531275.22756412000,true
Stitch,342583.9658,342583.96580000,0,342583.96580000,0,INF879O01027=205550.37948000;INF879O01100=119904.38803000;INF966L01887=17129.19829000,true
