team,members
INF174K01LS2|INF179K01426|INF879O01100,3
INF174K01LS2|INF179K01608|INF879O01100,3
INF174K01LS2|INF663L01DV3|INF879O01027,3
INF174K01LS2|INF663L01DV3|INF879O01100,3
INF174K01LS2|INF663L01DV3|INF966L01689,3
INF174K01LS2|INF769K01DM9|INF879O01027,3
INF174K01LS2|INF769K01DM9|INF879O01100,3
INF174K01LS2|INF769K01DM9|INF966L01689,3
INF174K01LS2|INF769K01DM9|INF966L01887,3
INF174K01LS2|INF846K01K35|INF879O01027,3
INF174K01LS2|INF846K01K35|INF879O01100,3
INF174K01LS2|INF846K01K35|INF966L01689,3
INF174K01LS2|INF846K01K35|INF966L01887,3
INF174K01LS2|INF846K01K35|INF966L01911,3
INF174K01LS2|INF879O01027|INF879O01100,3
INF174K01LS2|INF879O01027|INF966L01614,3
INF174K01LS2|INF879O01027|INF966L01689,3
INF174K01LS2|INF879O01027|INF966L01887,3
INF174K01LS2|INF879O01027|INF966L01911,3
INF174K01LS2|INF879O01027|INF966L01986,3
INF174K01LS2|INF879O01100|INF966L01614,3
INF174K01LS2|INF879O01100|INF966L01689,3
INF174K01LS2|INF879O01100|INF966L01887,3
INF174K01LS2|INF879O01100|INF966L01911,3
INF174K01LS2|INF879O01100|INF966L01986,3
INF174K01LS2|INF966L01614|INF966L01887,3
INF174K01LS2|INF966L01614|INF966L01911,3
INF174K01LS2|INF966L01689|INF966L01887,3
INF174K01LS2|INF966L01689|INF966L01986,3
INF174K01LS2|INF966L01887|INF966L01911,3
INF174K01LT0|INF179K01426|INF879O01100,3
INF174K01LT0|INF179K01608|INF879O01100,3
INF174K01LT0|INF663L01DV3|INF769K01DM9,3
INF174K01LT0|INF663L01DV3|INF846K01K35,3
INF174K01LT0|INF663L01DV3|INF879O01027,3
INF174K01LT0|INF663L01DV3|INF879O01100,3
INF174K01LT0|INF663L01DV3|INF966L01689,3
INF174K01LT0|INF663L01DV3|INF966L01887,3
INF174K01LT0|INF663L01DV3|INF966L01986,3
INF174K01LT0|INF769K01DM9|INF846K01K35,3
INF174K01LT0|INF769K01DM9|INF879O01027,3
INF174K01LT0|INF769K01DM9|INF879O01100,3
INF174K01LT0|INF769K01DM9|INF966L01614,3
INF174K01LT0|INF769K01DM9|INF966L01689,3
INF174K01LT0|INF769K01DM9|INF966L01887,3
INF174K01LT0|INF769K01DM9|INF966L01911,3
INF174K01LT0|INF769K01DM9|INF966L01986,3
INF174K01LT0|INF846K01K35|INF879O01027,3
INF174K01LT0|INF846K01K35|INF879O01100,3
INF174K01LT0|INF846K01K35|INF966L01689,3
INF174K01LT0|INF846K01K35|INF966L01887,3
INF174K01LT0|INF846K01K35|INF966L01911,3
INF174K01LT0|INF846K01K35|INF966L01986,3
INF174K01LT0|INF879O01027|INF879O01100,3
INF174K01LT0|INF879O01027|INF966L01614,3
INF174K01LT0|INF879O01027|INF966L01689,3
INF174K01LT0|INF879O01027|INF966L01887,3
INF174K01LT0|INF879O01027|INF966L01911,3
INF174K01LT0|INF879O01027|INF966L01986,3
INF174K01LT0|INF879O01100|INF966L01614,3
INF174K01LT0|INF879O01100|INF966L01689,3
INF174K01LT0|INF879O01100|INF966L01887,3
INF174K01LT0|INF879O01100|INF966L01911,3
INF174K01LT0|INF879O01100|INF966L01986,3
INF174K01LT0|INF966L01614|INF966L01689,3
INF174K01LT0|INF966L01689|INF966L01887,3
INF174K01LT0|INF966L01689|INF966L01911,3
INF174K01LT0|INF966L01689|INF966L01986,3
INF174K01LT0|INF966L01887|INF966L01911,3
INF174K01LT0|INF966L01887|INF966L01986,3
INF174K01LT0|INF966L01911|INF966L01986,3
INF179K01426|INF179K01608|INF879O01100,3
INF179K01426|INF663L01DV3|INF879O01100,3
INF179K01426|INF769K01DM9|INF879O01100,3
INF179K01426|INF846K01K35|INF879O01100,3
INF179K01426|INF879O01027|INF879O01100,3
INF179K01426|INF879O01100|INF966L01614,3
INF179K01426|INF879O01100|INF966L01689,3
INF179K01426|INF879O01100|INF966L01887,3
INF179K01426|INF879O01100|INF966L01911,3
INF179K01426|INF879O01100|INF966L01986,3
INF179K01608|INF663L01DV3|INF879O01100,3
INF179K01608|INF769K01DM9|INF879O01100,3
INF179K01608|INF769K01DM9|INF966L01689,3
INF179K01608|INF846K01K35|INF879O01100,3
INF179K01608|INF879O01027|INF879O01100,3
INF179K01608|INF879O01100|INF966L01614,3
INF179K01608|INF879O01100|INF966L01689,3
INF179K01608|INF879O01100|INF966L01887,3
INF179K01608|INF879O01100|INF966L01911,3
INF179K01608|INF879O01100|INF966L01986,3
INF663L01DV3|INF769K01DM9|INF846K01K35,3
INF663L01DV3|INF769K01DM9|INF879O01027,3
INF663L01DV3|INF769K01DM9|INF879O01100,3
INF663L01DV3|INF769K01DM9|INF966L01614,3
INF663L01DV3|INF769K01DM9|INF966L01689,3
INF663L01DV3|INF769K01DM9|INF966L01887,3
INF663L01DV3|INF769K01DM9|INF966L01911,3
INF663L01DV3|INF769K01DM9|INF966L01986,3
INF663L01DV3|INF846K01K35|INF879O01027,3
INF663L01DV3|INF846K01K35|INF879O01100,3
INF663L01DV3|INF846K01K35|INF966L01614,3
INF663L01DV3|INF846K01K35|INF966L01689,3
INF663L01DV3|INF846K01K35|INF966L01887,3
INF663L01DV3|INF846K01K35|INF966L01911,3
INF663L01DV3|INF846K01K35|INF966L01986,3
INF663L01DV3|INF879O01027|INF879O01100,3
INF663L01DV3|INF879O01027|INF966L01614,3
INF663L01DV3|INF879O01027|INF966L01689,3
INF663L01DV3|INF879O01027|INF966L01887,3
INF663L01DV3|INF879O01027|INF966L01911,3
INF663L01DV3|INF879O01027|INF966L01986,3
INF663L01DV3|INF879O01100|INF966L01614,3
INF663L01DV3|INF879O01100|INF966L01689,3
INF663L01DV3|INF879O01100|INF966L01887,3
