composition
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.0500,INF879O01027=0.4500,INF879O01100=0.5000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.0500,INF879O01027=0.5000,INF879O01100=0.4500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.3000,INF879O01100=0.6000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.3500,INF879O01100=0.5500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.4000,INF879O01100=0.5000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.4500,INF879O01100=0.4500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.5000,INF879O01100=0.4000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.5500,INF879O01100=0.3500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.6000,INF879O01100=0.3000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.6500,INF879O01100=0.2500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1000,INF879O01027=0.7000,INF879O01100=0.2000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.2500,INF879O01100=0.6000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.3000,INF879O01100=0.5500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.3500,INF879O01100=0.5000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.4000,INF879O01100=0.4500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.4500,INF879O01100=0.4000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.5000,INF879O01100=0.3500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.5500,INF879O01100=0.3000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.6000,INF879O01100=0.2500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.1500,INF879O01027=0.6500,INF879O01100=0.2000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.2000,INF879O01027=0.4000,INF879O01100=0.4000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.2000,INF879O01027=0.4500,INF879O01100=0.3500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.2000,INF879O01027=0.5000,INF879O01100=0.3000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.2000,INF879O01027=0.5500,INF879O01100=0.2500"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.2000,INF879O01027=0.6000,INF879O01100=0.2000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.2000,INF879O01027=0.6500,INF879O01100=0.1500"
"INF174K01LT0,INF879O01027,INF966L01614|INF174K01LT0=0.0000,INF879O01027=1.0000,INF966L01614=0.0000"
"INF174K01LT0,INF879O01027,INF966L01689|INF174K01LT0=0.0000,INF879O01027=0.9500,INF966L01689=0.0500"
"INF174K01LT0,INF879O01027,INF966L01689|INF174K01LT0=0.0000,INF879O01027=1.0000,INF966L01689=0.0000"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0000,INF879O01027=0.8500,INF966L01887=0.1500"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0000,INF879O01027=0.9000,INF966L01887=0.1000"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0000,INF879O01027=0.9500,INF966L01887=0.0500"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0000,INF879O01027=1.0000,INF966L01887=0.0000"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0500,INF879O01027=0.8500,INF966L01887=0.1000"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0500,INF879O01027=0.9000,INF966L01887=0.0500"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.1000,INF879O01027=0.8500,INF966L01887=0.0500"
"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.1500,INF879O01027=0.8000,INF966L01887=0.0500"
"INF174K01LT0,INF879O01027,INF966L01911|INF174K01LT0=0.0000,INF879O01027=1.0000,INF966L01911=0.0000"
"INF174K01LT0,INF879O01027,INF966L01986|INF174K01LT0=0.0000,INF879O01027=1.0000,INF966L01986=0.0000"
"INF179K01426,INF663L01DV3,INF879O01100|INF179K01426=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF179K01608,INF663L01DV3,INF879O01100|INF179K01608=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF663L01DV3,INF769K01DM9,INF879O01100|INF663L01DV3=0.0000,INF769K01DM9=0.0000,INF879O01100=1.0000"
"INF663L01DV3,INF846K01K35,INF879O01100|INF663L01DV3=0.0000,INF846K01K35=0.0000,INF879O01100=1.0000"
"INF663L01DV3,INF846K01K35,INF879O01100|INF663L01DV3=0.0000,INF846K01K35=0.0500,INF879O01100=0.9500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.0000,INF879O01100=1.0000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.0500,INF879O01100=0.9500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.1000,INF879O01100=0.9000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.1500,INF879O01100=0.8500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.2000,INF879O01100=0.8000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.2500,INF879O01100=0.7500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.3000,INF879O01100=0.7000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.3500,INF879O01100=0.6500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.4000,INF879O01100=0.6000"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.4500,INF879O01100=0.5500"
"INF663L01DV3,INF879O01027,INF879O01100|INF663L01DV3=0.0000,INF879O01027=0.5000,INF879O01100=0.5000"
