composition
INF174K01LT0|INF174K01LT0=1.0000
"INF174K01KT2,INF879O01100|INF174K01KT2=0.4500,INF879O01100=0.5500"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.5000,INF879O01100=0.5000"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.5500,INF879O01100=0.4500"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.6000,INF879O01100=0.4000"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.6500,INF879O01100=0.3500"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.7000,INF879O01100=0.3000"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.7500,INF879O01100=0.2500"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.8000,INF879O01100=0.2000"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.8500,INF879O01100=0.1500"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.9000,INF879O01100=0.1000"
"INF174K01KT2,INF879O01100|INF174K01KT2=0.9500,INF879O01100=0.0500"
"INF174K01KT2,INF879O01100|INF174K01KT2=1.0000,INF879O01100=0.0000"
"INF174K01KT2,INF966L01986|INF174K01KT2=0.0000,INF966L01986=1.0000"
"INF174K01KT2,INF966L01986|INF174K01KT2=0.0500,INF966L01986=0.9500"
"INF174K01KT2,INF966L01986|INF174K01KT2=0.1000,INF966L01986=0.9000"
"INF174K01KT2,INF966L01986|INF174K01KT2=0.1500,INF966L01986=0.8500"
"INF174K01KT2,INF966L01986|INF174K01KT2=0.2000,INF966L01986=0.8000"
"INF174K01KT2,INF966L01986|INF174K01KT2=0.2500,INF966L01986=0.7500"
"INF174K01LS2,INF174K01LT0|INF174K01LS2=0.0000,INF174K01LT0=1.0000"
"INF174K01LS2,INF174K01LT0|INF174K01LS2=0.0500,INF174K01LT0=0.9500"
"INF174K01LS2,INF174K01LT0|INF174K01LS2=0.1000,INF174K01LT0=0.9000"
"INF174K01LS2,INF174K01LT0|INF174K01LS2=0.1500,INF174K01LT0=0.8500"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.0000,INF846K01K35=1.0000"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.0500,INF846K01K35=0.9500"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.1000,INF846K01K35=0.9000"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.1500,INF846K01K35=0.8500"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.2000,INF846K01K35=0.8000"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.2500,INF846K01K35=0.7500"
"INF174K01LS2,INF846K01K35|INF174K01LS2=0.3000,INF846K01K35=0.7000"
"INF174K01LS2,INF879O01027|INF174K01LS2=0.0000,INF879O01027=1.0000"
"INF174K01LS2,INF879O01027|INF174K01LS2=0.0500,INF879O01027=0.9500"
"INF174K01LS2,INF879O01027|INF174K01LS2=0.1000,INF879O01027=0.9000"
"INF174K01LS2,INF879O01027|INF174K01LS2=0.1500,INF879O01027=0.8500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.0000,INF879O01100=1.0000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.0500,INF879O01100=0.9500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.1000,INF879O01100=0.9000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.1500,INF879O01100=0.8500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.2000,INF879O01100=0.8000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.2500,INF879O01100=0.7500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.3000,INF879O01100=0.7000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.3500,INF879O01100=0.6500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.4000,INF879O01100=0.6000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.4500,INF879O01100=0.5500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.5000,INF879O01100=0.5000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.5500,INF879O01100=0.4500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.6000,INF879O01100=0.4000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.6500,INF879O01100=0.3500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.7000,INF879O01100=0.3000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.7500,INF879O01100=0.2500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.8000,INF879O01100=0.2000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.8500,INF879O01100=0.1500"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.9000,INF879O01100=0.1000"
"INF174K01LS2,INF879O01100|INF174K01LS2=0.9500,INF879O01100=0.0500"
"INF174K01LS2,INF879O01100|INF174K01LS2=1.0000,INF879O01100=0.0000"
"INF174K01LS2,INF966L01614|INF174K01LS2=0.0000,INF966L01614=1.0000"
"INF174K01LS2,INF966L01614|INF174K01LS2=0.0500,INF966L01614=0.9500"
"INF174K01LS2,INF966L01614|INF174K01LS2=0.1000,INF966L01614=0.9000"
"INF174K01LS2,INF966L01614|INF174K01LS2=0.1500,INF966L01614=0.8500"
"INF174K01LS2,INF966L01689|INF174K01LS2=0.0000,INF966L01689=1.0000"
"INF174K01LS2,INF966L01689|INF174K01LS2=0.0500,INF966L01689=0.9500"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.0000,INF966L01887=1.0000"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.0500,INF966L01887=0.9500"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.1000,INF966L01887=0.9000"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.1500,INF966L01887=0.8500"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.2000,INF966L01887=0.8000"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.2500,INF966L01887=0.7500"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.3000,INF966L01887=0.7000"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.3500,INF966L01887=0.6500"
"INF174K01LS2,INF966L01887|INF174K01LS2=0.4000,INF966L01887=0.6000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.0500,INF769K01DM9=0.9500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.1000,INF769K01DM9=0.9000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.1500,INF769K01DM9=0.8500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.2000,INF769K01DM9=0.8000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.2500,INF769K01DM9=0.7500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.3000,INF769K01DM9=0.7000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.3500,INF769K01DM9=0.6500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.4000,INF769K01DM9=0.6000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.4500,INF769K01DM9=0.5500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.5000,INF769K01DM9=0.5000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.5500,INF769K01DM9=0.4500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.6000,INF769K01DM9=0.4000"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.6500,INF769K01DM9=0.3500"
"INF174K01LT0,INF769K01DM9|INF174K01LT0=0.7000,INF769K01DM9=0.3000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.0000,INF846K01K35=1.0000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.0500,INF846K01K35=0.9500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.1000,INF846K01K35=0.9000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.1500,INF846K01K35=0.8500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.2000,INF846K01K35=0.8000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.2500,INF846K01K35=0.7500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.3000,INF846K01K35=0.7000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.3500,INF846K01K35=0.6500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.4000,INF846K01K35=0.6000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.4500,INF846K01K35=0.5500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.5000,INF846K01K35=0.5000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.5500,INF846K01K35=0.4500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.6000,INF846K01K35=0.4000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.6500,INF846K01K35=0.3500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.7000,INF846K01K35=0.3000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.7500,INF846K01K35=0.2500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.8000,INF846K01K35=0.2000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.8500,INF846K01K35=0.1500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.9000,INF846K01K35=0.1000"
"INF174K01LT0,INF846K01K35|INF174K01LT0=0.9500,INF846K01K35=0.0500"
"INF174K01LT0,INF846K01K35|INF174K01LT0=1.0000,INF846K01K35=0.0000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.0000,INF879O01027=1.0000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.0500,INF879O01027=0.9500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.1000,INF879O01027=0.9000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.1500,INF879O01027=0.8500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.2000,INF879O01027=0.8000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.2500,INF879O01027=0.7500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.3000,INF879O01027=0.7000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.3500,INF879O01027=0.6500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.4000,INF879O01027=0.6000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.4500,INF879O01027=0.5500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.5000,INF879O01027=0.5000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.5500,INF879O01027=0.4500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.6000,INF879O01027=0.4000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.6500,INF879O01027=0.3500"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.7000,INF879O01027=0.3000"
