purpose,purpose_capital,family_capital_pct,attributed_capital_check,reconciles,final_composition
Edu_B,2400000.00,15.614834,2400000.00,True,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6500,INF879O01100=0.3000,INF966L01887=0.0500"
Home_Loan,800000.00,5.204945,800000.00,True,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6500,INF879O01100=0.3000,INF966L01887=0.0500"
Kutti,335000.00,2.179571,335000.00,True,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6500,INF879O01100=0.3000,INF966L01887=0.0500"
Marriage,800000.00,5.204945,800000.00,True,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6500,INF879O01100=0.3000,INF966L01887=0.0500"
Retirement,10700000.00,69.616135,10700000.00,True,"INF879O01027,INF966L01887,INF966L01911|INF879O01027=0.8500,INF966L01887=0.0500,INF966L01911=0.1000"
Stitch,335000.00,2.179571,335000.00,True,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6500,INF879O01100=0.3000,INF966L01887=0.0500"
