isin,scheme_name,amc,attributed_capital,family_capital_pct,purpose_count,purpose_coverage_pct,purposes
INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,12130500.00,78.923227,6,100.000000,"Edu_B,Home_Loan,Kutti,Marriage,Retirement,Stitch"
INF879O01100,Parag Parikh ELSS Tax Saver Fund- Direct Growth,PPFAS Mutual Fund,1401000.00,9.115159,5,83.333333,"Edu_B,Home_Loan,Kutti,Marriage,Retirement,Stitch"
INF966L01911,quant Flexi Cap Fund - Growth Option-Direct Plan,quant Mutual Fund,1070000.00,6.961614,1,16.666667,Retirement
INF966L01887,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,768500.00,5.000000,6,100.000000,"Edu_B,Home_Loan,Kutti,Marriage,Retirement,Stitch"
