as_of,purpose,purpose_horizon_years,nominal_elevation_horizon_years,population_size,informative_spoke_count,primary_winner,primary_l2_distance,primary_linf_distance,primary_worst_spoke,joint_frontier_size,bootstrap_resamples,bootstrap_seed,bootstrap_primary_winner_win_pct,contract_version
2026-09-06,Edu_B,4,3,189,19,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6000,INF879O01100=0.3500,INF966L01887=0.0500",1.7031870041271493,0.7925531914893617,protection_pct_days_at_or_above_30,3,5000,20260906,0.9994,1
2026-09-06,Home_Loan,9,7,189,18,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6000,INF879O01100=0.3500,INF966L01887=0.0500",1.7166229533492774,0.7925531914893617,protection_pct_days_at_or_above_30,4,5000,20260906,0.9326,1
2026-09-06,Kutti,7,7,189,18,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6000,INF879O01100=0.3500,INF966L01887=0.0500",1.7166229533492774,0.7925531914893617,protection_pct_days_at_or_above_30,4,5000,20260906,0.9326,1
2026-09-06,Marriage,9,7,189,18,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6000,INF879O01100=0.3500,INF966L01887=0.0500",1.7166229533492774,0.7925531914893617,protection_pct_days_at_or_above_30,4,5000,20260906,0.9326,1
2026-09-06,Retirement,12,10,21,18,"INF174K01LT0,INF879O01027,INF966L01887|INF174K01LT0=0.0500,INF879O01027=0.9000,INF966L01887=0.0500",1.6320998743949466,0.6,protection_percentile_75_severity_pct,1,5000,20260906,0.753,1
2026-09-06,Stitch,7,7,189,18,"INF879O01027,INF879O01100,INF966L01887|INF879O01027=0.6000,INF879O01100=0.3500,INF966L01887=0.0500",1.7166229533492774,0.7925531914893617,protection_pct_days_at_or_above_30,4,5000,20260906,0.9326,1
